,Text1,Text2,Text3
Text1,1.000000101327896,0.7645295421500782,0.7392005208621725
Text2,0.7645295421500782,1.0000002026557921,0.7948925303702323
Text3,0.7392005208621725,0.7948925303702323,1.0
